,Status,Beds,Baths,SQFT,Acres,Price,Address,City
192,Contingent,3,2.5,"1,996","6,098","$349,900","7486 Winding Path Ct, ","Canal Winchester, OH 43110"
193,For Sale,4,2.5,"1,811",,"$379,900","1457 Doubleday Dr, ","Columbus, OH 43228"
194,For Sale,4,2.5,"1,811",,"$369,900","6391 Darby Plains St, ","Columbus, OH 43228"
195,For Sale,4,3,"2,706","8,276","$600,000","2219 Edington Rd, ","Columbus, OH 43221"
196,Coming Soon,4,2.5,"2,050","7,405","$350,000","742 McDonell Pl, ","Columbus, OH 43230"
197,Contingent,3,1.5,"1,681",1.06,"$279,900","2587 Jordan Rd, ","Columbus, OH 43231"
198,Contingent,4,2.5,"1,818","7,841","$350,000","6948 Shady Rock Ln, ","Blacklick, OH 43004"
199,For Sale,3,2.5,"1,635",,Contact For Price,"Tallmadge Plan, Villas at Renner Park Community","COLUMBUS, OH"
200,For Sale,4,2.5,"2,443",,"$591,820","6652 Bowery Peak Ln, ","Westerville, OH 43081"
201,For Sale,4,2.5,"2,871",,"$643,370","6584 Bowery Peak Ln, ","Westerville, OH 43081"
202,For Sale,3,2.5,"1,635",,"$349,900","6389 Darby Plains St, ","Columbus, OH 43228"
203,Coming Soon,3,2,"1,419",0.23,"$303,267","3222 Stephen Dr S, ","Columbus, OH 43204"
204,For Sale,3,2.5,"1,635",,"$367,900","1460 Doubleday Dr, ","Columbus, OH 43228"
205,For Sale,3,2.5,"1,635",,"$349,900","6376 Ripken St, ","Columbus, OH 43228"
206,For Sale,3,2.5,"1,635",,"$349,900","6380 Ripken St, ","Columbus, OH 43228"
207,For Sale,4,2.5,"2,053",,"$373,900","3816 Miltonsburg Dr, ","Columbus, OH 43123"
208,For Sale,3,2.5,"1,635",,"$367,900","1458 Doubleday Dr, ","Columbus, OH 43228"
209,Pending,4,2,"1,771",,"$364,900","5921 Annaberg Dr, ","Columbus, OH 43232"
210,For Sale,4,2.5,"1,811",,"$379,900","1463 Koppel Way, ","Columbus, OH 43228"
211,Contingent,3,2.5,"1,950","1,307","$210,000","4305 Bowman Meadow Dr, ","Canal Winchester, OH 43110"
212,For Sale,3,2.5,"1,635",,"$367,900","1456 Doubleday Dr, ","Columbus, OH 43228"
213,For Sale,3,2.5,"1,635",,"$349,900","6382 Ripken St, ","Columbus, OH 43228"
214,For Sale,4,2.5,"3,337",,,"Allison II Plan, Sugar Farms Community","Hilliard, OH"
215,For Sale,3,2.5,"2,155",,"$447,900","1552 Forbes Ave, ","Columbus, OH 43228"
216,For Sale,4,2.5,"2,053",,"$378,900","3728 Miltonsburg Dr, ","Columbus, OH 43123"
217,For Sale,4,2.5,"1,811",,"$369,900","6384 Ripken St, ","Columbus, OH 43228"
218,For Sale,3,2.5,"1,948",,,"Dearborn Plan, Walnut Woods Community","Westerville, OH"
219,For Sale,3,2.5,"1,635",,"$367,900","1471 Koppel Way, ","Columbus, OH 43228"
220,For Sale,4,2.5,"1,811",,"$379,900","1462 Doubleday Dr, ","Columbus, OH 43228"
221,Contingent,4,2,"1,519","4,356","$218,000","57 Wisconsin Ave, ","Columbus, OH 43222"
222,For Sale,3,2,"1,440",,,"Ashland Plan, Walnut Woods Community","Westerville, OH"
223,For Sale,4,2.5,"1,811",,"$369,900","6374 Ripken St, ","Columbus, OH 43228"
224,Contingent,3,2.5,"1,985","3,485","$316,900","7858 Ashenden Dr, ","Blacklick, OH 43004"
225,For Sale,3,2.5,"2,155",,"$387,900","2155 Pentress Dr, ","Columbus, OH 43123"
226,For Sale,3,2.5,"2,155",,"$442,900","1545 Raley Way, ","Columbus, OH 43228"
227,For Sale,4,3,"1,784","8,712","$299,900","2018 Lisle Ave, ","Columbus, OH 43207"
228,For Sale,4,3.5,"1,949","3,049","$375,000","9327 Polaris Green Dr, ","Columbus, OH 43240"
229,For Sale,3,2.5,"1,635",,"$349,900","6383 Darby Plains St, ","Columbus, OH 43228"
230,For Sale,4,2.5,"2,356",,"$439,900","1546 Forbes Ave, ","Columbus, OH 43228"
231,For Sale,3,2.5,"1,635",,"$349,900","6385 Darby Plains St, ","Columbus, OH 43228"
232,For Sale,3,2.5,"1,635",,"$349,900","6378 Ripken St, ","Columbus, OH 43228"
233,For Sale,3,2.5,"1,988",,"$471,310","6236 Kalleva St, ","Westerville, OH 43081"
234,For Sale,3,2.5,"1,635",,"$349,900","6387 Darby Plains St, ","Columbus, OH 43228"
235,For Sale,3,2.5,"2,136",,"$416,660","6410 Hamilton Woods Blvd N, ","Westerville, OH 43081"
236,Contingent,6,3.5,"4,350",0.51,"$924,900","150 E North Broadway St, ","Columbus, OH 43214"
237,For Sale,3,2,"1,494",0.31,"$269,900","2429 E Livingston Ave, ","Columbus, OH 43209"
238,For Sale,4,2.5,"1,811",,"$379,900","1452 Doubleday Dr, ","Columbus, OH 43228"
239,For Sale,3,2.5,"2,049",,"$404,570","6425 Hamilton Woods Blvd S, ","Westerville, OH 43081"
240,For Sale,3,1,"1,198","5,663","$280,000","6275 Emberwood Rd, ","Dublin, OH 43017"
241,Contingent,3,1.5,"1,508",0.24,"$279,900","315 Lyncroft Dr, ","Gahanna, OH 43230"
242,For Sale,3,2.5,"2,471",,"$502,200","6207 Kalleva St, ","Westerville, OH 43081"
243,Contingent,3,1.5,"1,144","8,276","$279,900","5863 Buechler Bnd, ","Columbus, OH 43228"
244,For Sale,3,2.5,"1,635",,"$367,900","1469 Koppel Way, ","Columbus, OH 43228"
245,For Sale,3,2,"1,410","7,405","$199,000","2515 Ilene Rd, ","Columbus, OH 43232"
246,For Sale,3,2,"1,523",,,"Fremont Plan, Walnut Woods Community","Westerville, OH"
247,For Sale,3,2.5,"1,728",,"$473,470","6218 Chisholm St, ","Westerville, OH 43081"
248,For Sale,3,2,"1,635",,Contact For Price,"Newberry Plan, Lampton Village Community","COLUMBUS, OH"
249,For Sale,2,2.5,"1,524",,"$344,660","6406 Hamilton Woods Blvd N, ","Westerville, OH 43081"
250,For Sale,4,2.5,"2,444",,"$572,240","6575 Bowery Peak Ln, ","Westerville, OH 43081"
251,Contingent,2,2.5,"1,360","3,485","$519,500","641 Briggs St, ","Columbus, OH 43206"
252,For Sale,3,2.5,"1,728",,"$486,820","6180 Kalleva St, ","Westerville, OH 43081"
253,For Sale,3,2.5,"2,491",,"$497,730","6204 Kalleva St, ","Westerville, OH 43081"
254,Contingent,3,3,"3,125","2,614","$351,900","7674 Hoboken Dr, ","Blacklick, OH 43004"
255,For Sale,4,2.5,"2,773",,"$611,220","6626 Bowery Peak Ln, ","Westerville, OH 43081"
256,For Sale,4,3.5,"3,794","6,970","$2,050,000","158 Buttles Ave, ","Columbus, OH 43215"
257,Contingent,2,1,"1,103",0.25,"$220,000","1631 Roxbury Rd Apt A2, ","Columbus, OH 43212"
258,For Sale,3,1,"1,248","3,049","$429,900","452 E Whittier St, ","Columbus, OH 43206"
