,Status,Beds,Baths,SQFT,Acres,Price,Address,City
518,For Sale,4,2.5,"2,495","5,227","$389,900","881 S Champion Ave, ","Columbus, OH 43206"
519,For Sale,4,3.5,"2,222","7,405","$459,900","8469 Haleigh Woods Dr, ","Blacklick, OH 43004"
520,For Sale,5,4.5,"4,128",0.27,"$1,595,000","2322 Buckley Rd, ","Columbus, OH 43220"
521,For Sale,6,4.5+,"6,224",0.43,"$1,300,000","3909 Criswell Dr, ","Columbus, OH 43220"
522,For Sale,3,2,"1,152","5,663","$225,000","679 S Richardson Ave, ","Columbus, OH 43204"
523,For Sale,2,1.5,"1,051","1,307","$269,900","2621 Trottersway Dr, ","Columbus, OH 43235"
524,Contingent,3,1.5,"1,254","8,276","$219,000","4351 Broadhurst Dr, ","Columbus, OH 43213"
525,For Sale,3,2.5,"2,161",,,"Erie Plan, Walnut Woods Community","Westerville, OH"
526,For Sale,3,2,"1,100","7,405","$250,000","1454 Wilson Ave, ","Columbus, OH 43206"
527,Foreclosure,2,1,739,,"$64,000","1135 Fairwood Ave, ","Columbus, OH 43206"
528,For Sale,3,1.5,"1,364",871,"$180,000","5799 Lucinda Ct, ","Columbus, OH 43232"
529,Contingent,3,2.5,"3,613","1,742","$625,000","2257 Atlee Ct, ","Columbus, OH 43220"
530,For Sale,2,2,"1,075","1,742","$259,900","6795 Villabrook Dr, ","Columbus, OH 43235"
531,For Sale,2,1.5,"1,184","2,614","$390,000","242 E 4th Ave, ","Columbus, OH 43201"
532,Contingent,3,2.5,"1,193","3,485","$339,900","51 Frebis Ave, ","Columbus, OH 43206"
533,For Sale,3,1,"1,106","6,098","$219,900","1299 E North Broadway St, ","Columbus, OH 43224"
534,For Sale,2,2.5,"2,086",,"$459,000","5735 Newbank Cir Apt 203, ","Dublin, OH 43017"
535,For Sale,3,2.5,"1,830","6,098","$240,000","3495 Rocky Rd, ","Columbus, OH 43223"
536,Contingent,3,2.5,"1,952","9,148","$299,900","2254 Spindler Rd, ","Hilliard, OH 43026"
537,Contingent,2,1.5,"1,284","4,792","$309,000","1410 S 6th St, ","Columbus, OH 43207"
538,Contingent,3,2.5,"2,357",0.23,"$349,900","2548 Lakewood Dr, ","Columbus, OH 43231"
539,For Sale,3,2.5,"1,594","5,663","$294,888","7071 Winchester Crossing Blvd, ","Canal Winchester, OH 43110"
540,Contingent,3,2.5,"2,250",0.23,"$499,900","4318 Kendale Rd, ","Columbus, OH 43220"
541,For Sale,3,1,"1,420","4,356","$174,900","1171 Atcheson St, ","Columbus, OH 43203"
542,For Sale,3,1,"1,109","3,049","$279,900","2467 Indiana Ave, ","Columbus, OH 43202"
543,Contingent,4,1.5,"1,744",0.24,"$274,900","5645 Countrie Side Dr, ","Galloway, OH 43119"
544,For Sale,2,2,"1,842",,,"Mystique Plan, Retreat at Sugar Farms Community","Hilliard, OH"
545,For Sale,2,1,"1,002","4,792","$197,500","693 E 4th Ave, ","Columbus, OH 43201"
546,For Sale,2,1,744,"7,405","$130,000","220 N Virginialee Rd, ","Columbus, OH 43209"
547,For Sale,4,2.5,"2,317",,,"Findlay Plan, Hoover Farms Community","Westerville, OH"
548,Contingent,3,1,975,"8,712","$149,900","1316 Moler Rd, ","Columbus, OH 43207"
549,For Sale,3,1,"1,138","8,712","$169,700","1773 Oakland Park Ave, ","Columbus, OH 43224"
550,For Sale,5,2.5,"2,829",0.24,"$899,900","1113 Westwood Ave, ","Columbus, OH 43212"
551,Contingent,2,2.5,"1,472",436,"$199,777","6584 Crab Apple Dr Unit 19-658, ","Canal Winchester, OH 43110"
552,For Sale,3,2,"1,500",,Contact For Price,"Hampstead Plan, Allmon Run Community","Grove City, OH"
553,Contingent,3,2.5,"2,400","6,970","$375,000","6984 Shady Rock Ln, ","Blacklick, OH 43004"
554,Contingent,3,2.5,"3,255",0.46,"$549,900","502 Conestoga Dr, ","Columbus, OH 43213"
555,Contingent,3,2.5,"1,880",871,"$249,900","4894 Clearfork Ln Unit 9, ","Westerville, OH 43081"
556,Coming Soon,3,1.5,"1,308","7,405","$280,000","3174 Caralee Dr, ","Columbus, OH 43219"
557,Contingent,1,1,750,"6,970","$285,000","190 E Gay St Unit G8, ","Columbus, OH 43215"
558,For Sale,2,2,"1,290",0.46,"$465,000","1145 N High St Unit 204, ","Columbus, OH 43201"
559,For Sale,4,2.5,"2,870","7,841","$590,000","1808 Franklin Ave, ","Columbus, OH 43205"
560,Contingent,3,2,"1,552","5,227","$299,900","320 Binns Blvd, ","Columbus, OH 43204"
561,For Sale,2,2.5,"1,680",871,"$289,900","5925 New Albany Rd W Unit 24-592, ","New Albany, OH 43054"
562,For Sale,4,2.5,"1,840",0.39,"$335,000","476 Heatherhill Rd, ","Columbus, OH 43213"
563,Contingent,2,2.5,"1,508",871,"$249,000","4990 Village Mews, ","Westerville, OH 43081"
564,For Sale,4,2.5,"3,069",0.31,"$565,000","490 E North Broadway St, ","Columbus, OH 43214"
565,Contingent,3,2.5,"1,269",0.25,"$284,900","2963 Crocker Run Rd, ","Grove City, OH 43123"
566,Contingent,2,1.5,"1,288",871,"$238,900","3761 Baybridge Ln Unit 2, ","Dublin, OH 43016"
567,For Sale,2,2.5,"1,769","1,307","$279,000","2741 Acarie Dr, ","Columbus, OH 43219"
568,For Sale,3,2.5,"2,456",,,"Linwood Plan, Sugar Farms Community","Hilliard, OH"
569,For Sale,4,"2,428","3,920",,"$675,000","811 Ebner St, ","Columbus, OH 43206"
570,For Sale,3,2.5,"1,558","6,098","$320,000","8293 Old Ivory Way, ","Blacklick, OH 43004"
571,Contingent,4,3.5,"3,527","3,485","$1,150,000","1369 Fair Ave, ","Columbus, OH 43205"
572,Contingent,2,2,"1,056",436,"$197,000","2564 Scioto View Ln Unit G, ","Columbus, OH 43221"
573,Contingent,3,2.5,"2,028",0.47,"$250,000","3009 E Hudson St, ","Columbus, OH 43219"
574,For Sale,2,1.5,"1,024","4,356","$205,000","1843 Messner Dr, ","Hilliard, OH 43026"
575,For Sale,4,2.5,"2,020","7,841","$324,900","4266 Golden Meadows Ct, ","Grove City, OH 43123"
576,Contingent,4,2.5,"1,841","6,098","$395,000","131 N Nelson Rd, ","Columbus, OH 43219"
577,Foreclosure,3,1,"1,043","5,227","$36,000","1336 E Hudson St, ","Columbus, OH 43211"
578,Contingent,5,2.5,"2,456",0.24,"$275,000","1074 Runyon Rd, ","Columbus, OH 43227"
579,For Sale,2,2,"1,129",0.41,"$205,000","2097 Lehner Rd, ","Columbus, OH 43224"
580,For Sale,1,1,"1,179","1,307","$235,000","432 E Rich St Unit 5K, ","Columbus, OH 43215"
581,For Sale,3,3,"2,587",0.48,"$914,900","2970 Linkbury Ln, ","Columbus, OH 43221"
582,Foreclosure,3,1,"1,117","5,663","$94,000","1726 Eastfield Dr N, ","Columbus, OH 43223"
583,Contingent,3,2.5,"1,816","8,276","$279,400","6943 Woody Ct, ","Canal Winchester, OH 43110"
584,Contingent,4,1,"1,208","6,970","$154,900","4084 Powell Ave, ","Columbus, OH 43213"
585,Contingent,3,2.5,"1,842","6,098","$319,900","6646 Cloverlawn Cir, ","Canal Winchester, OH 43110"
586,Contingent,3,2,"1,206","3,485","$224,900","6293 Tarklin St, ","Canal Winchester, OH 43110"
587,Contingent,2,1.5,"1,490",436,"$245,000","6211 Joes Hopper Rd Unit 72-621, ","Columbus, OH 43230"
588,For Sale,2,2,"1,247","2,178","$289,900","1620 E Broad St Apt 1408, ","Columbus, OH 43203"
589,Contingent,2,2.5,"1,088",436,"$265,000","5577 Crystal Falls St Unit 47-557, ","Dublin, OH 43016"
590,Contingent,4,2,"1,718","8,712","$249,900","2530 Stonington Ave, ","Grove City, OH 43123"
591,Contingent,3,2,"2,304",0.27,"$780,000","2685 Tremont Rd, ","Columbus, OH 43221"
592,For Sale,4,2.5,"1,895",0.24,"$425,000","7908 Stanburn Rd, ","Columbus, OH 43235"
593,Coming Soon,3,1.5,"1,520","7,405","$289,900","1177 Newbury Dr, ","Columbus, OH 43229"
594,Contingent,2,1,"1,110",436,"$138,500","5708 Beechcroft Rd Apt K, ","Columbus, OH 43229"
595,For Sale,4,2.5,"2,634","1,307","$335,500","4967 Smoketalk Ln Unit 1, ","Westerville, OH 43081"
596,Contingent,3,1,"1,470","8,712","$239,900","1659 Linwood Ave, ","Columbus, OH 43207"
597,Contingent,16,"6,732",0.48,,"$549,900","2026-2040 Noe Bixby Rd, ","Columbus, OH 43232"
598,Contingent,3,2.5,"2,050",0.27,"$349,900","471 Lytton Way, ","Columbus, OH 43230"
599,Contingent,3,2,"1,185","6,534","$249,900","1600 Bucksglen Dr, ","Galloway, OH 43119"
600,Contingent,2,1,"1,196",871,"$115,000","5439 Worthington Forest Pl W, ","Columbus, OH 43229"
601,Contingent,3,1.5,"1,272","5,663","$259,900","6763 Winbarr Way, ","Canal Winchester, OH 43110"
602,Contingent,3,3,"1,430","7,841","$215,000","1408 Aven Dr, ","Columbus, OH 43227"
603,Contingent,3,1.5,"1,752","9,583","$220,000","4540 Beachworth Ct, ","Columbus, OH 43232"
604,For Sale,5,3.5,"2,644",0.5,"$725,000","3974 Reed Rd, ","Columbus, OH 43220"
605,Contingent,4,2,"2,041","8,276","$499,900","2270 Eastcleft Dr, ","Columbus, OH 43221"
606,Contingent,3,2,"1,530","6,534","$314,900","5608 Branchville Dr, ","Canal Winchester, OH 43110"
607,Contingent,3,2,"1,000","3,485","$130,000","168 S Warren Ave, ","Columbus, OH 43204"
608,Contingent,3,3.5,"2,462",871,"$799,900","1058 Harrison Park Pl, ","Columbus, OH 43201"
609,For Sale,3,1.5,"1,772",0.5,"$284,900","3446 Lowell Dr, ","Columbus, OH 43204"
610,Contingent,2,2.5,"1,869",871,"$230,000","378 Douglasfir Dr, ","Blacklick, OH 43004"
611,For Sale,3,3,"2,609","7,405","$725,000","5786 Inlet Point Ln, ","Westerville, OH 43081"
612,For Sale,"3,656",0.28,,,"$499,900","914 Bluffway Dr, ","Columbus, OH 43235"
613,Contingent,4,2.5,"2,949","6,970","$494,500","5647 Godetia St, ","Westerville, OH 43081"
614,Contingent,3,1.5,"1,524","8,276","$324,900","8628 Blanca Ct, ","Powell, OH 43065"
615,For Sale,3,1,"1,219","7,405","$110,000","5130 Gunston Dr, ","Columbus, OH 43232"
616,For Sale,2,1,972,"3,485","$74,500","954 Thomas Ave, ","Columbus, OH 43223"
617,Contingent,3,3.5,"2,795","7,841","$375,000","8656 Brenstuhl Park Dr, ","Blacklick, OH 43004"
618,Contingent,3,2,"1,287","5,227","$314,900","191 Leland Ave, ","Columbus, OH 43214"
619,For Sale,4,2,"2,100","4,792","$600,000","1014 W 2nd Ave, ","Columbus, OH 43212"
620,For Sale,4,2.5,"2,317",,,"Findlay Plan, Walnut Woods Community","Westerville, OH"
621,For Sale,4,2.5,"2,055",871,"$440,000","856 Bryden Rd, ","Columbus, OH 43205"
622,Contingent,3,2,"1,517",0.23,"$224,900","1146 Hart Rd, ","Columbus, OH 43223"
623,For Sale,3,1.5,"1,384","3,485","$109,000","143 S Oakley Ave, ","Columbus, OH 43204"
624,Coming Soon,3,1.5,"1,418","3,049","$319,000","545 Stewart Ave, ","Columbus, OH 43206"
625,Contingent,4,3,"2,370",1.11,"$375,000","6665 Merwin Rd, ","Columbus, OH 43235"
626,For Sale,3,2,"2,036","6,534","$595,000","60 Medbrook Way, ","Columbus, OH 43214"
627,For Sale,4,2,"3,126",,,"Riverton Plan, Sugar Farms Community","Hilliard, OH"
628,Contingent,3,2.5,"1,592","6,098","$330,000","4111 Sweet Shadow Ave, ","Columbus, OH 43230"
629,Contingent,3,1.5,"1,426","7,841","$325,000","916 Bricker Blvd, ","Columbus, OH 43221"
630,For Sale,4,2.5,"1,888","3,485","$345,000","7218 Rondeau Dr, ","Reynoldsburg, OH 43068"
631,Contingent,4,2,"1,957","9,148","$245,000","5024 Chingford Rd, ","Columbus, OH 43232"
632,For Sale,4,2,"1,771",,Contact For Price,"Chatham Plan, Renner Park Community","COLUMBUS, OH"
633,Contingent,4,2.5,"2,300","9,148","$350,000","8600 Roscoe Pl, ","Dublin, OH 43016"
634,For Sale,3,2.5,"2,390",,,"Newberry Plan, Sugar Farms Community","Hilliard, OH"
635,For Sale,3,2,"1,635",,Contact For Price,"Newcastle Plan, Renner Park Community","COLUMBUS, OH"
636,For Sale,2,2.5,"1,060",436,"$229,500","1270 Grove Dr Unit 1004, ","Columbus, OH 43230"
637,Contingent,3,2,"1,350","1,307","$184,900","1514 Lafayette Dr Apt B, ","Columbus, OH 43220"
638,Contingent,5,2,"1,600","8,712","$249,900","1030 Harwood Dr, ","Columbus, OH 43228"
639,Contingent,2,1,864,871,"$79,900","2464 Burgandy Ln, ","Columbus, OH 43232"
640,Contingent,3,2.5,"1,356",871,"$230,000","422 Jonathon Dayton Way, ","Galloway, OH 43119"
641,For Sale,3,1,"1,254","5,227","$314,900","55 Leland Ave, ","Columbus, OH 43214"
642,Contingent,4,2.5+,"2,300","6,970","$530,000","49 S Remington Rd, ","Columbus, OH 43209"
643,For Sale,2,1,852,871,"$279,900","49 W Lincoln St, ","Columbus, OH 43215"
644,Contingent,4,2,"1,650",0.25,"$249,500","2681 Minerva Ave, ","Columbus, OH 43231"
645,Contingent,4,2,"1,904","6,098","$275,000","517 Wellsleyglen Dr, ","Columbus, OH 43207"
646,Contingent,2,1.5,"1,088",,"$159,900","181 Macfalls Way Unit 18E, ","Blacklick, OH 43004"
647,Coming Soon,3,1.5,"1,537","6,970","$299,900","1937 Forestwind Dr, ","Grove City, OH 43123"
648,Contingent,3,2.5,"2,048","3,485","$315,000","4275 White Spruce Ln, ","Grove City, OH 43123"
649,For Sale,3,2.5,"2,533",0.27,"$595,000","392 E Town St Units 1 & 2, ","Columbus, OH 43215"
650,Contingent,3,3,"2,287",0.75,"$600,000","3481 Snouffer Rd, ","Columbus, OH 43235"
651,For Sale,3,2.5,"2,620","6,098","$499,900","158 Green Springs Dr, ","Columbus, OH 43235"
652,Contingent,3,2.5,"2,111","7,841","$450,000","239 S Kellner Rd, ","Columbus, OH 43209"
653,Contingent,3,2,"1,852","4,792","$175,000","492 Hilltonia Ave, ","Columbus, OH 43223"
654,Contingent,3,2.5+,"1,650",436,"$289,777","2136 Triad Ct Unit 24D, ","Columbus, OH 43235"
655,Contingent,4,2.5,"1,790","7,405","$419,999","6434 Albany Gardens Dr, ","New Albany, OH 43054"
656,For Sale,1,1,713,0.33,"$189,000","249 E Kossuth St Apt E, ","Columbus, OH 43206"
657,For Sale,4,3.5,"3,050","7,405","$555,000","2946 Black Kettle Trl, ","Dublin, OH 43017"
658,Contingent,4,3.5,"3,977","5,227","$1,080,000","338 W 7th Ave, ","Columbus, OH 43201"
659,Contingent,3,2.5,"1,895","8,276","$300,000","5092 Riverbirch Dr N, ","Columbus, OH 43229"
660,Contingent,2,1.5,"1,608",0.42,"$230,000","1363 Bonnie Ridge Rd, ","Columbus, OH 43228"
661,Contingent,3,1,"1,096","6,098","$195,000","2532 Spaatz Ave, ","Columbus, OH 43204"
662,For Sale,3,3.5+,"5,206",0.63,"$2,999,000","60 E Spring St Apt 601, ","Columbus, OH 43215"
663,For Sale,4,3.5,"3,905","6,098","$799,000","42 Governors Pl, ","Columbus, OH 43203"
664,For Sale,4,1.5,"1,322","2,614","$425,000","66 E 4th Ave, ","Columbus, OH 43201"
665,For Sale,4,2.5,"2,240",0.25,"$415,000","8100 Pelham Dr, ","Westerville, OH 43081"
666,Contingent,4,2.5,"1,650","7,841","$214,900","3059 Scottwood Rd, ","Columbus, OH 43227"
667,Contingent,3,2.5,"2,464",0.34,"$789,900","80 W Cooke Rd, ","Columbus, OH 43214"
668,Contingent,2,2.5,"2,664","2,614","$750,000","751 Jaeger St, ","Columbus, OH 43206"
669,Contingent,3,2,"1,700",0.23,"$370,000","3906 Ramblehurst Rd, ","Columbus, OH 43221"
670,Contingent,3,2.5,"1,640","6,098","$335,000","1126 Chaser St, ","Blacklick, OH 43004"
671,For Sale,2,1.5,"1,362","1,742","$385,000","244 1/2 E Whittier St, ","Columbus, OH 43206"
672,Contingent,2,1.5,952,436,"$114,900","409 Shell Ct E, ","Columbus, OH 43213"
673,Contingent,3,2,"1,351","5,663","$290,000","4830 Victory Ct, ","Columbus, OH 43231"
674,Contingent,3,1.5,"2,046","3,920","$650,000","774 S 6th St, ","Columbus, OH 43206"
675,Contingent,4,5,"4,449",1.5,"$939,900","3965 Riverview Dr, ","Columbus, OH 43221"
676,Contingent,3,1,"1,188","4,792","$335,000","379 Crestview Rd, ","Columbus, OH 43202"
677,For Sale,7.77,,,,"$8,500,000","8350 Lyra Dr, ","Columbus, OH 43240"
678,For Sale,3,2.5,"1,728","7,405","$269,900","1928 Dandridge Dr, ","Columbus, OH 43229"
679,For Sale,2,1,"1,034",0.24,"$349,900","156 Westwood Rd, ","Columbus, OH 43214"
680,For Sale,3,3,"2,535",,"$461,233","6032 McNaughten Pond Dr, ","Columbus, OH 43213"
681,For Sale,1,,,,"$300,000","1860 E 17th Ave, ","Columbus, OH 43219"
682,For Sale,2.44,,,,"$2,500,000","72 Woodland Ave, ","Columbus, OH 43203"
683,Contingent,2,1.5,952,436,"$115,000","4753 Shell Ct N, ","Whitehall, OH 43213"
684,Contingent,3,2,"1,292","4,792","$279,800","3032 Wicklow Rd, ","Columbus, OH 43204"
685,Contingent,2,2.5,"2,375",,"$239,900","1623 Coppertree Ln, ","Columbus, OH 43232"
686,For Sale,2,1,848,"4,792","$159,000","520 Whitethorne Ave, ","Columbus, OH 43223"
687,Contingent,3,2,"1,252","4,356","$235,000","3658 Larkwell Way, ","Columbus, OH 43232"
688,For Sale,3,1.5,"1,713","4,356","$399,999","353 E Weber Rd, ","Columbus, OH 43202"
689,Contingent,4,2.5,"2,584","6,098","$315,000","4704 Kenross Dr, ","Columbus, OH 43207"
690,For Sale,3,1.5,"1,204","5,227","$200,000","2379 Edmonton Rd, ","Columbus, OH 43229"
691,For Sale,0.65,,,,"$408,000","1051 E Livingston Ave, ","Columbus, OH 43205"
692,Contingent,4,2.5,"1,786","8,712","$418,000","3817 Lindhurst Rd, ","Columbus, OH 43220"
693,For Sale,0.31,,,,"$149,900","1151-1153 E Livingston Ave, ","Columbus, OH 43205"
694,Contingent,4,2.5,"2,410","5,663","$389,900","62 S Ohio Ave, ","Columbus, OH 43205"
695,For Sale,"5,227",,,,"$99,900","Eddystone Ave Lot 50, ","Columbus, OH 43224"
696,For Sale,5,1,"1,066","4,356","$155,000","1490 E 24th Ave, ","Columbus, OH 43211"
697,Contingent,2,2,"1,038","6,098","$199,900","4184 Salem Dr, ","Columbus, OH 43228"
698,Contingent,4,2.5,"1,984","6,970","$519,000","59 S Ardmore Rd, ","Columbus, OH 43209"
699,For Sale,4,1,"1,364","5,227","$99,900","2347 Dawnlight Ave, ","Columbus, OH 43211"
700,For Sale,2,1.5,"1,178",,"$224,900","2565 Scioto View Ln Unit J, ","Columbus, OH 43221"
701,Contingent,2,2.5,"1,560",871,"$230,000","4911 Smoketalk Ln Unit 5, ","Westerville, OH 43081"
702,Contingent,3,2,"1,576",0.46,"$344,900","3751 N Stygler Rd, ","Columbus, OH 43230"
703,Contingent,4,2,"1,514","6,970","$439,800","293 Deland Ave, ","Columbus, OH 43214"
704,Contingent,3,1,"1,217","8,712","$259,900","2826 Wellesley Rd, ","Columbus, OH 43209"
705,Contingent,4,3,"1,968",0.29,"$385,000","6054 Meadow Wood Ln, ","Columbus, OH 43228"
706,Contingent,3,2,"2,012",0.33,"$450,000","3922 Chevington Rd, ","Upper Arlington, OH 43220"
707,For Sale,4,1.5,"1,938","3,920","$374,900","1459 Hamlet St, ","Columbus, OH 43201"
708,Contingent,3,2.5,"1,855","7,841","$309,900","5965 Lakefront Ave, ","Hilliard, OH 43026"
709,Contingent,4,3.5,"3,100","7,405","$429,900","2822 Quailview Ln, ","Hilliard, OH 43026"
710,For Sale,4,2,"1,609","9,583","$270,000","4756 Stiles Ave, ","Columbus, OH 43228"
711,For Sale,3,2.5,"2,443",,"$649,000","5285 Highpointe Lakes Dr Unit 3105, ","Westerville, OH 43081"
712,Contingent,3,2.5,"1,646","3,485","$360,000","6051 Hayden Farms Rd, ","Dublin, OH 43016"
713,Contingent,2,1.5,"1,296","1,742","$474,900","618 Mohawk St, ","Columbus, OH 43206"
714,Contingent,3,2.5,"2,648",0.3,"$369,900","1000 Meadowview Dr, ","Columbus, OH 43224"
715,For Sale,2,1,992,"6,098","$85,000","2008 Floral Ave, ","Columbus, OH 43223"
716,Contingent,3,2,"1,372","9,583","$240,000","6344 Old Ben Ln, ","Canal Winchester, OH 43110"
717,For Sale,4,3.5,"1,747",0.32,"$349,000","6179 Lloret Ct, ","Columbus, OH 43228"
718,Contingent,2,2,"1,412","1,307","$159,900","3269 Donalda Ct, ","Columbus, OH 43231"
719,For Sale,4,3.5,"2,448","4,792","$479,900","571 Linwood Ave, ","Columbus, OH 43205"
720,For Sale,3,1,"1,092","8,712","$195,000","1820 Belmead Ave, ","Columbus, OH 43223"
721,For Sale,3,2.5,"2,142",0.24,"$349,900","1447 S Ohio Ave, ","Columbus, OH 43206"
722,For Sale,2,2,"2,117","2,614","$465,000","4173 Mystic Pines Dr, ","Columbus, OH 43230"
723,Contingent,4,4.5,"3,591",0.32,"$599,000","5178 Marks Ct, ","New Albany, OH 43054"
724,Contingent,2,2.5,"1,680",436,"$289,900","5884 Andrew John Dr Unit 21-588, ","New Albany, OH 43054"
725,Contingent,2,1,800,"5,663","$120,000","1604 Eastfield Dr N, ","Columbus, OH 43223"
726,Contingent,2,2,"1,880","6,098","$375,000","4122 Hannah Jayne, ","New Albany, OH 43054"
727,For Sale,6,4,"3,005","6,970","$599,900","5742 Salvia Rd Lot 88, ","Westerville, OH 43081"
728,For Sale,3,3.5,"2,352",,"$725,000","33 W Whittier St, ","Columbus, OH 43206"
729,Contingent,3,2,"2,043","9,583","$250,000","5828 Satinwood Dr, ","Columbus, OH 43229"
730,Contingent,4,2.5,"1,882","7,841","$385,000","3889 Ramblehurst Rd, ","Columbus, OH 43221"
731,For Sale,0.38,,,,"$3,500,000","1312 E Broad St, ","Columbus, OH 43205"
732,For Sale,4,2,"2,328",0.24,"$424,900","140 Westwood Rd, ","Columbus, OH 43214"
733,For Sale,2,2.5,"1,921",,"$839,900","300 W Spring St Unit 504, ","Columbus, OH 43215"
734,Contingent,1,2,"1,115","1,307","$237,500","78 E Chestnut St Apt 305, ","Columbus, OH 43215"
735,Contingent,3,2,"1,331","6,970","$215,000","4507 Saint Anthony Ln, ","Columbus, OH 43213"
736,Contingent,3,2,"1,693","5,663","$324,900","473 Hemhill Dr, ","Galloway, OH 43119"
737,Contingent,2,1.5,"1,420",,"$220,000","7027 Pleasant Colony Way Unit 15-702, ","New Albany, OH 43054"
738,For Sale,3,2.5,"1,888","4,792","$330,000","5715 Battle Creek Way, ","Columbus, OH 43228"
739,Contingent,2,1.5,"1,280","6,098","$175,000","4707 Shalers Dr Unit 55B, ","Columbus, OH 43228"
740,Contingent,3,2,"1,815","7,841","$480,000","2372 Swansea Rd, ","Columbus, OH 43221"
741,Contingent,3,1,"1,262","6,970","$229,900","1124 Kenilworth Pl, ","Columbus, OH 43209"
742,Coming Soon,3,2.5,"2,018","7,841","$350,000","1307 Brookforest Dr, ","Columbus, OH 43204"
743,For Sale,1,1,556,"1,307","$124,900","148 E Barthman Ave, ","Columbus, OH 43207"
744,Contingent,3,2,"1,505","6,534","$464,900","65 Chatham Rd, ","Columbus, OH 43214"
745,Contingent,3,2.5,"2,111","8,712","$275,000","5624 Sandalwood Blvd, ","Columbus, OH 43229"
746,For Sale,2,2.5,"2,396",0.27,"$615,000","390 E Town St Units 1 & 2, ","Columbus, OH 43215"
747,Contingent,3,2,"1,452","6,098","$294,900","8237 Sea Star Dr, ","Blacklick, OH 43004"
748,For Sale,3,2.5,"1,561","9,148","$339,000","1304 Millerdale Rd, ","Columbus, OH 43209"
749,For Sale,4,3,"2,498",1.11,"$539,000","3254 Grey Fox Dr, ","Columbus, OH 43230"
750,Contingent,3,1,925,"8,276","$165,000","4004 E Fulton St, ","Columbus, OH 43227"
751,Contingent,3,1.5,"1,717",0.23,"$375,000","3625 Pegg Ave, ","Columbus, OH 43214"
752,Contingent,2,3.5,"1,814","1,307","$249,900","2119 Brookhurst Ave Unit D, ","Columbus, OH 43229"
753,Contingent,4,2.5,"2,028","9,583","$415,000","5452 Riverbrook Dr, ","Columbus, OH 43221"
754,For Sale,4,2.5,"2,124","4,792","$369,900","3787 Sugarbark Dr, ","Canal Winchester, OH 43110"
755,For Sale,3,1.5,"1,364",871,"$149,999","5803 Hallridge Cir, ","Columbus, OH 43232"
756,For Sale,3,1.5,"1,364",871,"$149,999","5803 Hallridge Cir, ","Columbus, OH 43232"
757,Contingent,3,2,"1,562",0.47,"$323,000","1000 Urlin Ave Apt 1006, ","Columbus, OH 43212"
758,For Sale,4,2.5,"1,917","3,920","$750,000","1122 S Pearl St, ","Columbus, OH 43206"
759,For Sale,4,"2,916","3,049",,"$849,900","606 City Park Ave, ","Columbus, OH 43206"
760,For Sale,2,1.5,"1,040","6,970","$141,000","1786 Kent St, ","Columbus, OH 43205"
761,Contingent,3,2,"1,214","5,663","$175,000","3460 Mautino Dr, ","Columbus, OH 43231"
762,For Sale,2,1.5,"1,010","4,792","$339,000","284 Southwood Ave, ","Columbus, OH 43207"
763,For Sale,5,2.5,"2,312","3,920","$364,000","871 Sullivant Ave, ","Columbus, OH 43223"
764,Contingent,3,1,"1,179","8,712","$199,900","1767 Shady Lane Rd, ","Columbus, OH 43227"
765,Contingent,4,2,"1,308","7,405","$199,900","4666 Janis Dr, ","Columbus, OH 43227"
766,Contingent,3,1.5,"1,328","8,276","$309,900","3217 Delburn Ave, ","Dublin, OH 43017"
767,For Sale,3,2,"1,584","5,227","$159,900","845 E Jenkins Ave, ","Columbus, OH 43207"
768,Contingent,8,"1,307",,,"$365,900","4651 Hilton Ave, ","Columbus, OH 43228"
769,For Sale,2,2.5,"1,165",,"$375,000","1146 E Long St, ","Columbus, OH 43203"
770,For Sale,3,2.5,"1,694","6,970","$398,000","2758 Lake Hollow Rd, ","Hilliard, OH 43026"
771,Contingent,2,1.5,"1,020","1,742","$175,000","7566 Bay Hill Dr, ","Pickerington, OH 43147"
772,Contingent,2,2,"1,600","4,356","$414,900","812 Kerr St, ","Columbus, OH 43215"
773,Contingent,3,1.5,"1,554","7,405","$389,500","697 Drummond Ct, ","Columbus, OH 43214"
774,For Sale,5,4.5,"2,759","5,227","$749,000","218 Wilson Ave, ","Columbus, OH 43205"
775,For Sale,3,1,"1,100",0.62,"$189,000","2111 Lehner Rd, ","Columbus, OH 43224"
776,Contingent,4,2.5,"2,888",0.23,"$985,000","1983 Coventry Rd, ","Upper Arlington, OH 43212"
777,Contingent,4,2.5,"1,992","4,792","$300,000","3850 Liriope St, ","Canal Winchester, OH 43110"
778,Contingent,4,3,"2,636",0.35,"$559,000","549 N Columbia Ave, ","Bexley, OH 43209"
779,For Sale,4,2,"2,548","1,307","$524,900","351 W Hubbard Ave, ","Columbus, OH 43215"
780,Contingent,3,2,"2,479",0.34,"$639,900","2060 Glenmere Rd, ","Columbus, OH 43220"
781,For Sale,2,1,360,"4,356","$99,900","671 E Gates St Unit Abe, ","Columbus, OH 43206"
782,Contingent,4,2.5,"2,026",0.24,"$379,900","1134 Rockport Ln, ","Columbus, OH 43235"
783,For Sale,4,2.5,"2,000","8,276","$579,900","81 N Roosevelt Ave, ","Columbus, OH 43209"
784,For Sale,4,2.5,"1,818","7,841","$360,000","8674 Brenstuhl Park Dr, ","Blacklick, OH 43004"
